#Accession	ID	Type	Description	Class	subclass
RF00882	MIR811	Gene;miRNA	microRNA MIR811	miRNA	miRNA
RF00883	MIR820	Gene;miRNA	microRNA MIR820	miRNA	miRNA
RF00884	MIR815	Gene;miRNA	microRNA MIR815	miRNA	miRNA
RF00885	MIR821	Gene;miRNA	microRNA MIR821	miRNA	miRNA
RF00886	MIR807	Gene;miRNA	microRNA MIR807	miRNA	miRNA
RF00887	mir-802	Gene;miRNA	microRNA mir-802	miRNA	miRNA
RF00888	mir-770	Gene;miRNA	microRNA mir-770	miRNA	miRNA
RF00890	mir-668	Gene;miRNA	microRNA mir-668	miRNA	miRNA
RF00891	mir-671	Gene;miRNA	microRNA mir-671	miRNA	miRNA
RF00892	mir-551	Gene;miRNA	microRNA mir-551	miRNA	miRNA
RF00893	MIR854	Gene;miRNA	microRNA MIR854	miRNA	miRNA
RF00894	mir-790	Gene;miRNA	microRNA mir-790	miRNA	miRNA
RF00895	mir-786	Gene;miRNA	microRNA mir-786	miRNA	miRNA
RF00896	mir-787	Gene;miRNA	microRNA mir-787	miRNA	miRNA
RF00897	mir-675	Gene;miRNA	microRNA mir-675	miRNA	miRNA
RF00898	mir-242	Gene;miRNA	microRNA mir-242	miRNA	miRNA
RF00899	mir-235	Gene;miRNA	microRNA mir-235	miRNA	miRNA
RF00900	mir-255	Gene;miRNA	microRNA mir-255	miRNA	miRNA
RF00901	MIR845_1	Gene;miRNA	microRNA MIR845_1	miRNA	miRNA
RF00902	mir-791	Gene;miRNA	microRNA mir-791	miRNA	miRNA
RF00903	mir-359	Gene;miRNA	microRNA mir-359	miRNA	miRNA
RF00904	mir-392	Gene;miRNA	microRNA mir-392	miRNA	miRNA
RF00905	mir-789	Gene;miRNA	microRNA mir-789	miRNA	miRNA
RF00906	MIR1122	Gene;miRNA	microRNA MIR1122	miRNA	miRNA
RF00907	mir-941	Gene;miRNA	microRNA mir-941	miRNA	miRNA
RF00908	MIR529	Gene;miRNA	microRNA MIR529	miRNA	miRNA
RF00909	mir-883	Gene;miRNA	microRNA mir-883	miRNA	miRNA
RF00910	mir-873	Gene;miRNA	microRNA mir-873	miRNA	miRNA
RF00911	mir-672	Gene;miRNA	microRNA mir-672	miRNA	miRNA
RF00912	mir-877	Gene;miRNA	microRNA mir-877	miRNA	miRNA
RF00914	mir-674	Gene;miRNA	microRNA mir-674	miRNA	miRNA
RF00915	mir-760	Gene;miRNA	microRNA mir-760	miRNA	miRNA
RF00917	mir-708	Gene;miRNA	microRNA mir-708	miRNA	miRNA
RF00918	mir-872	Gene;miRNA	microRNA mir-872	miRNA	miRNA
RF00919	mir-874	Gene;miRNA	microRNA mir-874	miRNA	miRNA
RF00920	MIR444	Gene;miRNA	microRNA MIR444	miRNA	miRNA
RF00921	mir-665	Gene;miRNA	microRNA mir-665	miRNA	miRNA
RF00922	mir-673	Gene;miRNA	microRNA mir-673	miRNA	miRNA
RF00925	MIR1027	Gene;miRNA	microRNA MIR1027	miRNA	miRNA
RF00926	MIR1151	Gene;miRNA	microRNA MIR1151	miRNA	miRNA
RF00927	mir-582	Gene;miRNA	microRNA mir-582	miRNA	miRNA
RF00928	mir-590	Gene;miRNA	microRNA mir-590	miRNA	miRNA
RF00929	mir-574	Gene;miRNA	microRNA mir-574	miRNA	miRNA
RF00931	mir-879	Gene;miRNA	microRNA mir-879	miRNA	miRNA
RF00932	mir-471	Gene;miRNA	microRNA mir-471	miRNA	miRNA
RF00933	mir-875	Gene;miRNA	microRNA mir-875	miRNA	miRNA
RF00934	mir-463	Gene;miRNA	microRNA mir-463	miRNA	miRNA
RF00935	mir-876	Gene;miRNA	microRNA mir-876	miRNA	miRNA
RF00936	mir-744	Gene;miRNA	microRNA mir-744	miRNA	miRNA
RF00937	mir-653	Gene;miRNA	microRNA mir-653	miRNA	miRNA
RF00939	mir-504	Gene;miRNA	microRNA mir-504	miRNA	miRNA
RF00940	mir-327	Gene;miRNA	microRNA mir-327	miRNA	miRNA
RF00941	mir-434	Gene;miRNA	microRNA mir-434	miRNA	miRNA
RF00942	mir-1224	Gene;miRNA	microRNA mir-1224	miRNA	miRNA
RF00943	MIR824	Gene;miRNA	microRNA MIR824	miRNA	miRNA
RF00945	mir-1226	Gene;miRNA	microRNA mir-1226	miRNA	miRNA
RF00946	mir-1225	Gene;miRNA	microRNA mir-1225	miRNA	miRNA
RF00947	mir-929	Gene;miRNA	microRNA mir-929	miRNA	miRNA
RF00948	mir-996	Gene;miRNA	microRNA mir-996	miRNA	miRNA
RF00949	mir-983	Gene;miRNA	microRNA mir-983	miRNA	miRNA
RF00950	mir-927	Gene;miRNA	microRNA mir-927	miRNA	miRNA
RF00951	mir-1302	Gene;miRNA	microRNA mir-1302	miRNA	miRNA
RF00952	mir-650	Gene;miRNA	microRNA mir-650	miRNA	miRNA
RF00953	mir-1497	Gene;miRNA	microRNA mir-1497	miRNA	miRNA
RF00954	MIR1446	Gene;miRNA	microRNA MIR1446	miRNA	miRNA
RF00955	mir-1829	Gene;miRNA	microRNA mir-1829	miRNA	miRNA
RF00956	MIR1444	Gene;miRNA	microRNA MIR1444	miRNA	miRNA
RF00957	mir-663	Gene;miRNA	microRNA mir-663	miRNA	miRNA
RF00958	mir-498	Gene;miRNA	microRNA mir-498	miRNA	miRNA
RF00959	mir-612	Gene;miRNA	microRNA mir-612	miRNA	miRNA
RF00960	mir-661	Gene;miRNA	microRNA mir-661	miRNA	miRNA
RF00961	mir-581	Gene;miRNA	microRNA mir-581	miRNA	miRNA
RF00962	mir-586	Gene;miRNA	microRNA mir-586	miRNA	miRNA
RF00963	mir-642	Gene;miRNA	microRNA mir-642	miRNA	miRNA
RF00964	mir-938	Gene;miRNA	microRNA mir-938	miRNA	miRNA
RF00965	mir-549	Gene;miRNA	microRNA mir-549	miRNA	miRNA
RF00966	mir-676	Gene;miRNA	mir-676 microRNA precursor family	miRNA	miRNA
RF00967	mir-281	Gene;miRNA	mir-281 microRNA precursor family	miRNA	miRNA
RF00968	mir-626	Gene;miRNA	mir-626 microRNA precursor family	miRNA	miRNA
RF00969	mir-556	Gene;miRNA	microRNA mir-556	miRNA	miRNA
RF00970	mir-648	Gene;miRNA	mir-648 microRNA precursor family	miRNA	miRNA
RF00971	mir-578	Gene;miRNA	mir-578 microRNA precursor family	miRNA	miRNA
RF00972	mir-651	Gene;miRNA	microRNA mir-651	miRNA	miRNA
RF00973	mir-597	Gene;miRNA	microRNA mir-597	miRNA	miRNA
RF00974	mir-607	Gene;miRNA	microRNA mir-607	miRNA	miRNA
RF00975	MIR845_2	Gene;miRNA	microRNA MIR845_2	miRNA	miRNA
RF00976	mir-583	Gene;miRNA	microRNA mir-583	miRNA	miRNA
RF00977	mir-600	Gene;miRNA	microRNA mir-600	miRNA	miRNA
RF00978	mir-638	Gene;miRNA	microRNA mir-638	miRNA	miRNA
RF00979	mir-553	Gene;miRNA	microRNA mir-553	miRNA	miRNA
RF00980	mir-643	Gene;miRNA	microRNA mir-643	miRNA	miRNA
RF00981	mir-939	Gene;miRNA	microRNA mir-939	miRNA	miRNA
RF00983	mir-662	Gene;miRNA	microRNA mir-662	miRNA	miRNA
RF00984	mir-576	Gene;miRNA	microRNA mir-576	miRNA	miRNA
RF00985	mir-640	Gene;miRNA	microRNA mir-640	miRNA	miRNA
RF00986	mir-920	Gene;miRNA	mir-920 microRNA precursor family	miRNA	miRNA
RF00987	mir-589	Gene;miRNA	microRNA mir-589	miRNA	miRNA
RF00988	mir-657	Gene;miRNA	microRNA mir-657	miRNA	miRNA
RF00989	mir-492	Gene;miRNA	microRNA mir-492	miRNA	miRNA
RF00990	mir-552	Gene;miRNA	microRNA mir-552	miRNA	miRNA
RF00991	mir-599	Gene;miRNA	microRNA mir-599	miRNA	miRNA
RF00992	mir-593	Gene;miRNA	microRNA mir-593	miRNA	miRNA
RF00993	mir-1473	Gene;miRNA	microRNA mir-1473	miRNA	miRNA
RF00994	mir-1255	Gene;miRNA	microRNA mir-1255	miRNA	miRNA
RF00995	mir-616	Gene;miRNA	microRNA mir-616	miRNA	miRNA
RF00996	mir-631	Gene;miRNA	microRNA mir-631	miRNA	miRNA
RF00997	mir-942	Gene;miRNA	microRNA mir-942	miRNA	miRNA
RF00998	mir-562	Gene;miRNA	microRNA mir-562	miRNA	miRNA
RF00999	mir-924	Gene;miRNA	microRNA mir-924	miRNA	miRNA
RF01000	mir-580	Gene;miRNA	microRNA mir-580	miRNA	miRNA
RF01001	mir-609	Gene;miRNA	microRNA mir-609	miRNA	miRNA
RF01002	mir-936	Gene;miRNA	microRNA mir-936	miRNA	miRNA
RF01003	mir-563	Gene;miRNA	microRNA mir-563	miRNA	miRNA
RF01004	mir-557	Gene;miRNA	microRNA mir-557	miRNA	miRNA
RF01005	MIR530	Gene;miRNA	microRNA MIR530	miRNA	miRNA
RF01006	mir-601	Gene;miRNA	microRNA mir-601	miRNA	miRNA
RF01007	mir-624	Gene;miRNA	microRNA mir-624	miRNA	miRNA
RF01008	mir-636	Gene;miRNA	microRNA mir-636	miRNA	miRNA
RF01009	mir-M7	Gene;miRNA	microRNA mir-M7	miRNA	miRNA
RF01010	mir-632	Gene;miRNA	microRNA mir-632	miRNA	miRNA
RF01011	mir-605	Gene;miRNA	microRNA mir-605	miRNA	miRNA
RF01012	mir-628	Gene;miRNA	microRNA mir-628	miRNA	miRNA
RF01013	mir-577	Gene;miRNA	microRNA mir-577	miRNA	miRNA
RF01014	mir-1306	Gene;miRNA	microRNA mir-1306	miRNA	miRNA
RF01015	mir-885	Gene;miRNA	microRNA mir-885	miRNA	miRNA
RF01016	mir-584	Gene;miRNA	microRNA mir-584	miRNA	miRNA
RF01018	mir-569	Gene;miRNA	microRNA mir-569	miRNA	miRNA
RF01019	mir-922	Gene;miRNA	microRNA mir-922	miRNA	miRNA
RF01020	mir-572	Gene;miRNA	microRNA mir-572	miRNA	miRNA
RF01021	mir-558	Gene;miRNA	microRNA mir-558	miRNA	miRNA
RF01022	mir-611	Gene;miRNA	microRNA mir-611	miRNA	miRNA
RF01023	mir-940	Gene;miRNA	microRNA mir-940	miRNA	miRNA
RF01024	mir-944	Gene;miRNA	microRNA mir-944	miRNA	miRNA
RF01025	mir-934	Gene;miRNA	microRNA mir-934	miRNA	miRNA
RF01026	MIR828	Gene;miRNA	microRNA MIR828	miRNA	miRNA
RF01027	mir-765	Gene;miRNA	microRNA mir-765	miRNA	miRNA
RF01028	mir-633	Gene;miRNA	microRNA mir-633	miRNA	miRNA
RF01029	mir-649	Gene;miRNA	microRNA mir-649	miRNA	miRNA
RF01030	mir-422	Gene;miRNA	microRNA mir-422	miRNA	miRNA
RF01031	mir-639	Gene;miRNA	microRNA mir-639	miRNA	miRNA
RF01032	mir-554	Gene;miRNA	microRNA mir-554	miRNA	miRNA
RF01033	mir-767	Gene;miRNA	microRNA mir-767	miRNA	miRNA
RF01034	mir-618	Gene;miRNA	microRNA mir-618	miRNA	miRNA
RF01035	mir-887	Gene;miRNA	microRNA mir-887	miRNA	miRNA
RF01036	mir-567	Gene;miRNA	microRNA mir-567	miRNA	miRNA
RF01037	mir-644	Gene;miRNA	microRNA mir-644	miRNA	miRNA
RF01038	mir-1307	Gene;miRNA	microRNA mir-1307	miRNA	miRNA
RF01039	mir-937	Gene;miRNA	microRNA mir-937	miRNA	miRNA
RF01040	mir-573	Gene;miRNA	microRNA mir-573	miRNA	miRNA
RF01041	mir-604	Gene;miRNA	microRNA mir-604	miRNA	miRNA
RF01042	mir-891	Gene;miRNA	microRNA mir-891	miRNA	miRNA
RF01043	MIR1023	Gene;miRNA	microRNA MIR1023	miRNA	miRNA
RF01044	mir-345	Gene;miRNA	microRNA mir-345	miRNA	miRNA
RF01045	mir-544	Gene;miRNA	microRNA mir-544	miRNA	miRNA
RF01059	mir-598	Gene;miRNA	microRNA mir-598	miRNA	miRNA
RF01061	mir-548	Gene;miRNA	microRNA mir-548	miRNA	miRNA
RF01064	mir-253	Gene;miRNA	microRNA mir-253	miRNA	miRNA
RF01116	Yfr1	Gene;sRNA	Cyanobacterial functional RNA 1	sRNA	sRNA
RF01117	ciona-mir-92	Gene;miRNA	Ciona microRNA mir-92	miRNA	miRNA
RF01314	mir-1227	Gene;miRNA	microRNA mir-1227	miRNA	miRNA
RF01385	isrA	Gene;sRNA	isrA Hfq binding RNA	sRNA	sRNA
RF01386	isrB	Gene;sRNA	isrB Hfq binding RNA	sRNA	sRNA
RF01387	isrC	Gene;sRNA	isrC Hfq binding RNA	sRNA	sRNA
RF01388	isrD	Gene;sRNA	isrD Hfq binding RNA	sRNA	sRNA
RF01389	isrF	Gene;sRNA	isrF Hfq binding RNA	sRNA	sRNA
RF01390	isrG	Gene;sRNA	isrG Hfq binding RNA	sRNA	sRNA
RF01391	isrH	Gene;sRNA	isrH Hfq binding RNA	sRNA	sRNA
RF01392	isrI	Gene;sRNA	isrI Hfq binding RNA	sRNA	sRNA
RF01393	isrJ	Gene;sRNA	isrJ Hfq binding RNA	sRNA	sRNA
RF01394	isrK	Gene;sRNA	isrK Hfq binding RNA	sRNA	sRNA
RF01395	isrL	Gene;sRNA	isrL Hfq binding RNA	sRNA	sRNA
RF01396	isrN	Gene;sRNA	isrN Hfq binding RNA	sRNA	sRNA
RF01397	isrO	Gene;sRNA	isrO Hfq binding RNA	sRNA	sRNA
RF01398	isrP	Gene;sRNA	isrP Hfq binding RNA	sRNA	sRNA
RF01399	isrQ	Gene;sRNA	isrQ Hfq binding RNA	sRNA	sRNA
RF01401	rseX	Gene;sRNA	rseX Hfq binding RNA	sRNA	sRNA
RF01402	STnc150	Gene;sRNA	STnc150 Hfq binding RNA	sRNA	sRNA
RF01403	STnc290	Gene;sRNA	STnc290 Hfq binding RNA	sRNA	sRNA
RF01404	PinT	Gene;sRNA	PinT (STnc440) Hfq binding RNA	sRNA	sRNA
RF01405	STnc490	Gene;sRNA	STnc490 Hfq binding RNA	sRNA	sRNA
RF01406	STnc500	Gene;sRNA	STnc500 Hfq binding RNA	sRNA	sRNA
RF01407	STnc560	Gene;sRNA	STnc560 Hfq binding RNA	sRNA	sRNA
RF01408	sraL	Gene;sRNA	sraL Hfq binding RNA	sRNA	sRNA
RF01409	STnc250	Gene;sRNA	STnc250 Hfq binding RNA	sRNA	sRNA
RF01410	BsrC	Gene;sRNA	BsrC	sRNA	sRNA
RF01411	BsrF	Gene;sRNA	BsrF	sRNA	sRNA
RF01412	BsrG	Gene;sRNA	BsrG	sRNA	sRNA
RF01413	miR-430	Gene;miRNA	miR-430 microRNA precursor family	miRNA	miRNA
RF01457	rli22	Gene;sRNA	Listeria sRNA rli22	sRNA	sRNA
RF01459	rliE	Gene;sRNA	Listeria sRNA rliE	sRNA	sRNA
RF01460	rliH	Gene;sRNA	Listeria sRNA rliH	sRNA	sRNA
RF01461	rli24	Gene;sRNA	Listeria sRNA rli22	sRNA	sRNA
RF01462	rli26	Gene;sRNA	Listeria sRNA rli26	sRNA	sRNA
RF01463	rli27	Gene;sRNA	Listeria sRNA rli27	sRNA	sRNA
RF01464	rliA	Gene;sRNA	Listeria sRNA rliA	sRNA	sRNA
RF01465	rli31	Gene;sRNA	Listeria sRNA rli31	sRNA	sRNA
RF01466	rli34	Gene;sRNA	Listeria sRNA rli34	sRNA	sRNA
RF01467	rli36	Gene;sRNA	Listeria sRNA rli36	sRNA	sRNA
RF01468	rli32	Gene;sRNA	Listeria sRNA rli32	sRNA	sRNA
RF01469	rli33	Gene;sRNA	Listeria sRNA rli33	sRNA	sRNA
RF01470	rli38	Gene;sRNA	Listeria sRNA rli38	sRNA	sRNA
RF01471	rliB	Gene;sRNA	Listeria sRNA rliB	sRNA	sRNA
RF01472	rli40	Gene;sRNA	Listeria sRNA rli40	sRNA	sRNA
RF01473	rli41	Gene;sRNA	Listeria sRNA rli41	sRNA	sRNA
RF01474	rli42	Gene;sRNA	Listeia sRNA rli42	sRNA	sRNA
RF01476	rliF	Gene;sRNA	Listeria sRNA rliF	sRNA	sRNA
RF01477	rli43	Gene;sRNA	Listeria sRNA rli43	sRNA	sRNA
RF01478	rli47	Gene;sRNA	Listeria sRNA rli47	sRNA	sRNA
RF01479	rli48	Gene;sRNA	Listeria sRNA rli48	sRNA	sRNA
RF01487	rliI	Gene;sRNA	Listeria sRNA rliI	sRNA	sRNA
RF01488	rli49	Gene;sRNA	Listeria sRNA rli49	sRNA	sRNA
RF01489	sbrA	Gene;sRNA	Listeria sRNA sbrA	sRNA	sRNA
RF01492	rli28	Gene;sRNA	Listeria sRNA rli28	sRNA	sRNA
RF01493	rli37	Gene;sRNA	Listeria sRNA rli37	sRNA	sRNA
RF01496	Afu_182	Gene;sRNA	A. fumigatus sRNA Afu_182	sRNA	sRNA
RF01503	Afu_203	Gene;sRNA	A. fumigatus sRNA Afu_203	sRNA	sRNA
RF01504	Afu_254	Gene;sRNA	A. fumigatus sRNA Afu_254	sRNA	sRNA
RF01512	Afu_309	Gene;sRNA	A. fumigatus sRNA Afu_309	sRNA	sRNA
RF01519	CC0196	Gene;sRNA	Caulobacter sRNA CC0196	sRNA	sRNA
RF01520	CC0734	Gene;sRNA	caulobacter sRNA CC0734	sRNA	sRNA
RF01521	CC1840	Gene;sRNA	caulobacter sRNA CC1840	sRNA	sRNA
RF01527	CrfA	Gene;sRNA	Caulobacter sRNA CrfA	sRNA	sRNA
RF01528	CC3513	Gene;sRNA	caulobacter sRNA CC3513	sRNA	sRNA
RF01529	CC3552	Gene;sRNA	Cauldobacter sRNA CC3552	sRNA	sRNA
RF01530	CC3664	Gene;sRNA	Caulobacter sRNA CC3664	sRNA	sRNA
RF01578	RUF1	Gene;sRNA	Plasmodium RNA of unkown function RUF1	sRNA	sRNA
RF01579	RUF2	Gene;sRNA	Plasmodium RNA of unknown function RUF2	sRNA	sRNA
RF01580	RUF3	Gene;sRNA	Plasmodium RNA of unkown function RU6-F3	sRNA	sRNA
RF01581	RUF6-5	Gene;sRNA	Plasmodium RNA of unknown function RUF6-5	sRNA	sRNA
RF01582	RUF4	Gene;sRNA	RNA of unknown function RUF4	sRNA	sRNA
RF01619	ceN115	Gene;sRNA	C. elegans sRNA ceN115	sRNA	sRNA
RF01623	ceN23-1	Gene;sRNA	Caenorhabditis sRNA ceN23-1	sRNA	sRNA
RF01643	ceN56	Gene;sRNA	Caenorhabditis sRNA ceN56	sRNA	sRNA
RF01656	ceN72-3_ceN74-2	Gene;sRNA	Nematode sRNA ceN72-3_ceN74-2	sRNA	sRNA
RF01663	ceN93	Gene;sRNA	Caenorhabditis sRNA ceN93	sRNA	sRNA
RF01665	P13	Gene;sRNA	Pseudomonas sRNA P13	sRNA	sRNA
RF01668	P10	Gene;sRNA	Pseudomonas sRNA P10	sRNA	sRNA
RF01669	P14	Gene;sRNA	Pseudomonas sRNA P14	sRNA	sRNA
RF01670	P17	Gene;sRNA	Pseudomonas sRNA P17	sRNA	sRNA
RF01671	P18	Gene;sRNA	Pseudomonas sRNA P18	sRNA	sRNA
RF01672	P2	Gene;sRNA	Psudomonas sRNA P2	sRNA	sRNA
RF01673	PhrS	Gene;sRNA	PhrS	sRNA	sRNA
RF01674	P27	Gene;sRNA	Pseudomonas sRNA P27	sRNA	sRNA
RF01675	CrcZ	Gene;sRNA	Pseudomonas sRNA CrcZ	sRNA	sRNA
RF01676	P31	Gene;sRNA	Pseudomonas sRNA P31	sRNA	sRNA
RF01677	P35	Gene;sRNA	Pseudomonas sRNA P35	sRNA	sRNA
RF01678	P37	Gene;sRNA	Pseudomonas sRNA P37	sRNA	sRNA
RF01679	P36	Gene;sRNA	Pseudomonas sRNA P36	sRNA	sRNA
RF01680	P5	Gene;sRNA	Pseudomonas sRNA P5	sRNA	sRNA
RF01681	P4	Gene;sRNA	Pseudomonas sRNA P4	sRNA	sRNA
RF01682	P8	Gene;sRNA	Pseudomonas sRNA P8	sRNA	sRNA
RF01683	P6	Gene;sRNA	Pseudomonas sRNA P6	sRNA	sRNA
RF01685	6S-Flavo	Gene;sRNA	6S-Flavo RNA	sRNA	sRNA
RF01686	Acido-1	Gene;sRNA	Acido-1 RNA	sRNA	sRNA
RF01687	Acido-Lenti-1	Gene;sRNA	Acido-Lenti-1 RNA	sRNA	sRNA
RF01690	Bacillaceae-1	Gene;sRNA	Bacillaceae-1 RNA	sRNA	sRNA
RF01691	Bacillus-plasmid	Gene;sRNA	Bacillus-plasmid RNA	sRNA	sRNA
RF01693	Bacteroidales-1	Gene;sRNA	Bacteroidales-1 6S-Bacteroidales RNA suggested	sRNA	sRNA
RF01694	Bacteroides-1	Gene;sRNA	Bacteroides-1 RNA	sRNA	sRNA
RF01696	Chlorobi-1	Gene;sRNA	Chlorobi-1 RNA	sRNA	sRNA
RF01698	Chloroflexi-1	Gene;sRNA	Chloroflexi-1 RNA	sRNA	sRNA
RF01699	Clostridiales-1	Gene;sRNA	Clostridiales-1 RNA	sRNA	sRNA
RF01700	Collinsella-1	Gene;sRNA	Collinsella-1 RNA	sRNA	sRNA
RF01701	Cyano-1	Gene;sRNA	Cyano-1 RNA	sRNA	sRNA
RF01702	Cyano-2	Gene;sRNA	Cyano-2 RNA	sRNA	sRNA
RF01703	Dictyoglomi-1	Gene;sRNA	Dictyoglomi-1 RNA	sRNA	sRNA
RF01705	Flavo-1	Gene;sRNA	Flavo-1 RNA	sRNA	sRNA
RF01706	Gut-1	Gene;sRNA	Gut-1 RNA	sRNA	sRNA
RF01710	Lacto-usp	Gene;sRNA	Lacto-usp RNA	sRNA	sRNA
RF01712	Methylobacterium-1	Gene;sRNA	Methylobacterium-1 RNA	sRNA	sRNA
RF01714	Ocean-V	Gene;sRNA	Ocean-V RNA	sRNA	sRNA
RF01718	Polynucleobacter-1	Gene;sRNA	Polynucleobacter-1 RNA	sRNA	sRNA
RF01719	Pseudomon-1	Gene;sRNA	Pseudomon-1/ErsA RNA	sRNA	sRNA
RF01722	Pyrobac-1	Gene;sRNA	Pyrobac-1 RNA	sRNA	sRNA
RF01723	Rhizobiales-2	Gene;sRNA	Rhizobiales-2 RNA	sRNA	sRNA
RF01728	STAXI	Gene;sRNA	STAXI RNA	sRNA	sRNA
RF01732	asd	Gene;sRNA	MarS sRNA	sRNA	sRNA
RF01742	lactis-plasmid	Gene;sRNA	lactis-plasmid RNA	sRNA	sRNA
RF01757	sbcD	Gene;sRNA	sbcD RNA	sRNA	sRNA
RF01762	whalefall-1	Gene;sRNA	Whalefall-1 RNA	sRNA	sRNA
RF01775	RsaOG	Gene;sRNA	RNA S.aureus Orsay G	sRNA	sRNA
RF01778	Evf-2_5p	Gene;lncRNA	Embryonic ventral forebrain-2 long ncRNA	lncRNA	lncRNA
RF01781	ASdes	Gene;sRNA	ASdes TB sRNA	sRNA	sRNA
RF01783	b55	Gene;sRNA	Mycobacterium B11	sRNA	sRNA
RF01784	bablM	Gene;sRNA	bablM sRNA	sRNA	sRNA
RF01789	EBER1	Gene;sRNA	Epstein-Barr virus EBER1	sRNA	sRNA
RF01791	F6	Gene;sRNA	F6 TB sRNA	sRNA	sRNA
RF01793	ffh	Gene;sRNA	ffh sRNA	sRNA	sRNA
RF01796	frnS	Gene;sRNA	Fumarate/nitrate reductase regulator sRNA	sRNA	sRNA
RF01800	gadd7	Gene;lncRNA	growth arrested DNA-damage inducible gene 7	lncRNA	lncRNA
RF01808	MicX	Gene;sRNA	MicX Vibrio cholerae sRNA	sRNA	sRNA
RF01810	pntA	Gene;sRNA	pntA sRNA	sRNA	sRNA
RF01812	Pxr	Gene;sRNA	Pxr regulatory sRNA	sRNA	sRNA
RF01814	rhtB	Gene;sRNA	rhtB sRNA	sRNA	sRNA
RF01815	rpsB	Gene;sRNA	rpsB sRNA	sRNA	sRNA
RF01816	RsaA	Gene;sRNA	RNA Staph. aureus A	sRNA	sRNA
RF01817	RsaB	Gene;sRNA	RNA Staph. aureus A	sRNA	sRNA
RF01818	RsaC	Gene;sRNA	RNA Staph. aureus C	sRNA	sRNA
RF01819	RsaD	Gene;sRNA	RNA Staph. aureus D	sRNA	sRNA
RF01820	RsaE	Gene;sRNA	RNA Staph. aureus E (RoxS)	sRNA	sRNA
RF01821	RsaH	Gene;sRNA	RNA Staph. aureus H	sRNA	sRNA
RF01822	RsaJ	Gene;sRNA	RNA Staph. aureus A	sRNA	sRNA
RF01823	rspL	Gene;sRNA	rpsL sRNA	sRNA	sRNA
RF01827	SAR11_0636	Gene;sRNA	SAR11_0636 sRNA	sRNA	sRNA
RF01828	SprD	Gene;sRNA	Small pathogenicity island RNA D	sRNA	sRNA
RF01852	tRNA-Sec	Gene;tRNA	Selenocysteine transfer RNA	tRNA	tRNA
RF01858	RsaF	Gene;sRNA	RNA Staph. aureus F	sRNA	sRNA
RF01867	CC2171	Gene;sRNA	caulobacter sRNA CC2171	sRNA	sRNA
RF01871	MALAT1	Gene;lncRNA	Metastasis associated lung adenocarcinoma transcript 1	lncRNA	lncRNA
RF01872	MEG3_2	Gene;lncRNA	Maternally expressed 3 conserved region 2	lncRNA	lncRNA
RF01873	PISRT1	Gene;lncRNA	Polled intersex syndrome regulated transcript 1	lncRNA	lncRNA
RF01874	MIAT_exon1	Gene;lncRNA	Myocardial infarction associated transcript exon 1	lncRNA	lncRNA
RF01875	MIAT_exon5_1	Gene;lncRNA	Myocardial infarction associated transcript exon 5 conserved region 1	lncRNA	lncRNA
RF01876	MIAT_exon5_2	Gene;lncRNA	Myocardial infarction associated transcript exon 5 conserved region 2	lncRNA	lncRNA
RF01877	MIAT_exon5_3	Gene;lncRNA	Myocardial infarction associated transcript exon 5 conserved region 3	lncRNA	lncRNA
RF01879	TUSC7	Gene;lncRNA	Non-coding RNA LOC285194	lncRNA	lncRNA
RF01880	Xist_exon1	Gene;lncRNA	X-chromosome inactivation gene exon 1	lncRNA	lncRNA
RF01881	Xist_exon4	Gene;lncRNA	X-chromosome inactivation gene exon 4	lncRNA	lncRNA
RF01882	TUG1_1	Gene;lncRNA	Taurine upregulated gene 1 conserved region 1	lncRNA	lncRNA
RF01883	TUG1_2	Gene;lncRNA	Taurine upregulated gene 1 conserved region 2	lncRNA	lncRNA
RF01884	LINC00901	Gene;lncRNA	Non-coding RNA BC040587	lncRNA	lncRNA
RF01885	HSR-omega_1	Gene;lncRNA	Heat shock gene hsromega conserved region 1	lncRNA	lncRNA
RF01886	HSR-omega_2	Gene;lncRNA	Heat shock gene hsromega conserved region 2	lncRNA	lncRNA
RF01887	DLX6-AS1_1	Gene;lncRNA	Embryonic ventral forebrain RNA 1 conserved region 1	lncRNA	lncRNA
RF01888	DLX6-AS1_2	Gene;lncRNA	Embryonic ventral forebrain RNA 1 conserved region 2	lncRNA	lncRNA
RF01889	lincRNA-p21_1	Gene;lncRNA	LincRNA-p21 conserved region 1	lncRNA	lncRNA
RF01890	lincRNA-p21_2	Gene;lncRNA	LincRNA-p21 conserved region 2	lncRNA	lncRNA
RF01891	TUG1_3	Gene;lncRNA	Taurine upregulated gene 1 conserved region 3	lncRNA	lncRNA
RF01892	TUG1_4	Gene;lncRNA	Taurine upregulated gene 1 conserved region 4	lncRNA	lncRNA
RF01894	PCA3_2	Gene;lncRNA	Prostate cancer antigen RNA 3 conserved region 2	lncRNA	lncRNA
RF01895	mir-193	Gene;miRNA	microRNA mir-193	miRNA	miRNA
RF01896	mir-142	Gene;miRNA	microRNA mir-142	miRNA	miRNA
RF01897	mir-188	Gene;miRNA	microRNA mir-188	miRNA	miRNA
RF01898	mir-363	Gene;miRNA	microRNA mir-363	miRNA	miRNA
RF01899	mir-2241	Gene;miRNA	mir-2241 microRNA precursor family	miRNA	miRNA
RF01900	mir-2024	Gene;miRNA	microRNA mir-2024	miRNA	miRNA
RF01901	mir-284	Gene;miRNA	mir-284 microRNA precursor family	miRNA	miRNA
