#Accession	ID	Type	Description	Class	subclass
RF04140	mir-3118	Gene;miRNA	mir-3118 microRNA precursor family	miRNA	miRNA
RF04141	MIR8622	Gene;miRNA	MIR8622 microRNA precursor family	miRNA	miRNA
RF04142	mir-1299	Gene;miRNA	mir-1299 microRNA precursor family	miRNA	miRNA
RF04143	MIR869	Gene;miRNA	MIR869 microRNA precursor family	miRNA	miRNA
RF04144	MIR9783	Gene;miRNA	MIR9783 microRNA precursor family	miRNA	miRNA
RF04145	MIR8706	Gene;miRNA	MIR8706 microRNA precursor family	miRNA	miRNA
RF04146	mir-4742	Gene;miRNA	mir-4742 microRNA precursor family	miRNA	miRNA
RF04147	MIR6224	Gene;miRNA	MIR6224 microRNA precursor family	miRNA	miRNA
RF04148	MIR844	Gene;miRNA	MIR844 microRNA precursor family	miRNA	miRNA
RF04149	MIR447	Gene;miRNA	MIR447 microRNA precursor family	miRNA	miRNA
RF04150	MIR2655	Gene;miRNA	MIR2655 microRNA precursor family	miRNA	miRNA
RF04151	MIR4387	Gene;miRNA	MIR4387 microRNA precursor family	miRNA	miRNA
RF04152	mir-3618	Gene;miRNA	mir-3618 microRNA precursor family	miRNA	miRNA
RF04153	MIR856	Gene;miRNA	MIR856 microRNA precursor family	miRNA	miRNA
RF04154	mir-1277	Gene;miRNA	mir-1277 microRNA precursor family	miRNA	miRNA
RF04155	mir-9236	Gene;miRNA	mir-9236 microRNA precursor family	miRNA	miRNA
RF04156	MIR2670	Gene;miRNA	MIR2670 microRNA precursor family	miRNA	miRNA
RF04157	MIR9486	Gene;miRNA	MIR9486 microRNA precursor family	miRNA	miRNA
RF04158	mir-568	Gene;miRNA	mir-568 microRNA precursor family	miRNA	miRNA
RF04159	MIR1437	Gene;miRNA	MIR1437 microRNA precursor family	miRNA	miRNA
RF04160	MIR868	Gene;miRNA	MIR868 microRNA precursor family	miRNA	miRNA
RF04161	mir-3688	Gene;miRNA	mir-3688 microRNA precursor family	miRNA	miRNA
RF04162	MIR9662	Gene;miRNA	MIR9662 microRNA precursor family	miRNA	miRNA
RF04163	mir-8364	Gene;miRNA	mir-8364 microRNA precursor family	miRNA	miRNA
RF04164	MIR1507	Gene;miRNA	MIR1507 microRNA precursor family	miRNA	miRNA
RF04165	mir-2483	Gene;miRNA	mir-2483 microRNA precursor family	miRNA	miRNA
RF04166	mir-2278	Gene;miRNA	mir-2278 microRNA precursor family	miRNA	miRNA
RF04167	mir-1972	Gene;miRNA	mir-1972 microRNA precursor family	miRNA	miRNA
RF04168	MIR839	Gene;miRNA	MIR839 microRNA precursor family	miRNA	miRNA
RF04169	mir-2235	Gene;miRNA	mir-2235 microRNA precursor family	miRNA	miRNA
RF04170	MIR7723	Gene;miRNA	MIR7723 microRNA precursor family	miRNA	miRNA
RF04171	MIR1509	Gene;miRNA	MIR1509 microRNA precursor family	miRNA	miRNA
RF04172	MIR8675	Gene;miRNA	MIR8675 microRNA precursor family	miRNA	miRNA
RF04173	MIR847	Gene;miRNA	MIR847 microRNA precursor family	miRNA	miRNA
RF04174	MIR4208	Gene;miRNA	MIR4208 microRNA precursor family	miRNA	miRNA
RF04175	mir-1260b	Gene;miRNA	mir-1260b microRNA precursor family	miRNA	miRNA
RF04176	mir-3149	Gene;miRNA	mir-3149 microRNA precursor family	miRNA	miRNA
